Name,Phone,Shift,Role,CheckedIn
Jess Park,555-0100,Sat Early,Door,No
Aiden Nguyen,555-0101,Fri Early,Bar back,No
Maria Lopez,555-0102,Fri Early,Stage crew,No
Tom Walsh,555-0103,Fri Early,Bar back,No
Priya Shah,555-0104,Fri Early,Stage crew,No
Leo Brooks,555-0105,Fri Early,Stage crew,No
Grace Kim,555-0106,Fri Early,Stage crew,No
Omar Haddad,555-0107,Fri Late,Runner,No
Hana Sato,555-0108,Fri Late,Door,No
Ben Ortiz,555-0109,Fri Late,Merch,No
Zoe Price,555-0110,Fri Late,Door,No
Luis Vega,555-0111,Fri Late,Stage crew,No
Kate Moss,555-0112,Fri Late,Door,No
Dev Rao,555-0113,Fri Late,Door,No
Nina Fox,555-0114,Fri Late,Door,No
Sam Reyes,555-0115,Fri Early,Door,No
Ivy Lane,555-0116,Sat Early,Bar back,No
Cole Ward,555-0117,Sat Early,Merch,No
Rae Stone,555-0118,Sat Early,Door,No
Eli Cruz,555-0119,Sat Early,Merch,No
Mae Hale,555-0120,Sat Early,Runner,No
Jon Dunn,555-0121,Sat Early,Door,No
Ana Bell,555-0122,Sat Late,Runner,No
Kai Ito,555-0123,Sat Late,Door,No
Lena Marsh,555-0124,Sat Late,Door,No
Max Cho,555-0125,Sat Late,Stage crew,No
Tara Webb,555-0126,Sat Late,Door,No
Rico Diaz,555-0127,Sat Late,Merch,No
Uma Nair,555-0128,Sat Late,Bar back,No
Finn Boyd,555-0129,Sat Late,Door,No
Bea Frost,555-0130,Sun Early,Merch,No
Gus Lee,555-0131,Sun Early,Record swap,No
Joy Hart,555-0132,Sun Early,Door,No
Wes Cole,555-0133,Sun Early,Record swap,No
Ava Rossi,555-0134,Sun Early,Door,No
Ray King,555-0135,Sun Early,Record swap,No
Liv Wolfe,555-0136,Sun Late,Door,No
Noah Gray,555-0137,Sun Late,Runner,No
Pia Silva,555-0138,Sun Late,Runner,No
Reed Tran,555-0139,Sun Late,Merch,No
